direction,width,size_exp,pattern,repeats,timing_model,baseline_ticks,pim_ticks,speedup,baseline_checksum,pim_checksum
right,16,3,0,1,1,131088845000,112226610000,1.16807275030405,12557120963263156780,12557120963263156780
right,32,0,0,1,1,42907247000,39621818000,1.082919693387113,11582062885708842023,11582062885708842023
right,32,1,0,1,1,72583334000,64266353000,1.1294142364045459,5037490149476220495,5037490149476220495
right,32,2,0,1,1,131899666000,113572471000,1.1613700471481332,8463074125719201524,8463074125719201524
right,32,3,0,1,1,250737833000,212248190000,1.1813426206367177,7884587721939948416,7884587721939948416
right,64,0,0,1,1,74103051000,67036220000,1.1054181008416046,11090559379477070589,11090559379477070589
right,64,1,0,1,1,133401128000,116367706000,1.146375851045822,7009358276103470690,7009358276103470690
right,64,2,0,1,1,252266951000,214953752000,1.173587102587537,15046867430386677032,15046867430386677032
right,64,3,0,1,1,489366236000,412325329000,1.1868449536846184,14848888297351950672,14848888297351950672
right_8,8,0,0,8,1,17692635000,18557508000,0.953394981696896,15218873280827343945,15218873280827343945
right_8,8,1,0,8,1,23317640000,24124503000,0.9665542125365235,4263088823169247094,4263088823169247094
right_8,8,2,0,8,1,34605097000,35250425000,0.981693043417207,15517770683953822064,15517770683953822064
right_8,8,3,0,8,1,57077608000,57492031000,0.9927916444628647,15872898905119955349,15872898905119955349
right_8,16,0,0,8,1,23825379000,24834089000,0.9593820413545269,4846162034705403721,4846162034705403721
right_8,16,1,0,8,1,35090659000,35953583000,0.975998942859186,10241658846922796365,10241658846922796365
right_8,16,2,0,8,1,57610905000,58207519000,0.9897502245371427,13192226352737109324,13192226352737109324
right_8,16,3,0,8,1,102718957000,102678719000,1.0003918825672145,12266199249260154720,12266199249260154720
right_8,32,0,0,8,1,36069452000,37401424000,0.9643871313562821,6788749159287278472,6788749159287278472
right_8,32,1,0,8,1,58599614000,59648521000,0.9824152052319957,3187376803439196383,3187376803439196383
right_8,32,2,0,8,1,103716698000,104119125000,0.9961349367851488,2966546182008458299,2966546182008458299
right_8,32,3,0,8,1,193870811000,193055773000,1.0042217748132298,4934924650199736551,4934924650199736551
right_8,64,0,0,8,1,60609228000,62521061000,0.9694209763970576,13071514960533198762,13071514960533198762
right_8,64,1,0,8,1,105703706000,107006405000,0.9878259717257112,3021410878616463436,3021410878616463436
right_8,64,2,0,8,1,195770377000,195987837000,0.9988904413491742,10504229122875963947,10504229122875963947
right_8,64,3,0,8,1,375949038000,373912440000,1.0054467243721552,13687865402835776607,13687865402835776607
right_arbitrary,32,0,0,1,1,46223160000,43466971000,1.0634088121760312,11582062885708842023,11582062885708842023
right_arbitrary,32,0,0,8,1,38973700000,41158918000,0.9469077880035622,6788749159287278472,6788749159287278472
right_arbitrary,32,0,0,13,1,79655275000,54801570000,1.4535217695405442,2528651599406990798,2528651599406990798
right_arbitrary,32,0,0,24,1,40718615000,42002593000,0.9694309825110083,1710915758347993703,1710915758347993703
right_arbitrary,32,1,0,1,1,76632239000,69849050000,1.0971121153401513,5037490149476220495,5037490149476220495
right_arbitrary,32,1,0,8,1,61683266000,65105673000,0.9474330447363627,3187376803439196383,3187376803439196383
right_arbitrary,32,1,0,13,1,142802054000,91562520000,1.5596125357842925,3235227209895411315,3235227209895411315
right_arbitrary,32,1,0,24,1,64205036000,66215390000,0.9696391730079669,12890100077685415717,12890100077685415717
right_arbitrary,32,2,0,1,1,137786559000,122748217000,1.122513730688243,8463074125719201524,8463074125719201524
right_arbitrary,32,2,0,8,1,107428721000,113116594000,0.9497167232598959,2966546182008458299,2966546182008458299
right_arbitrary,32,2,0,13,1,269376565000,165102624000,1.6315704649248943,3263599762259221109,3263599762259221109
right_arbitrary,32,2,0,24,1,111475091000,114654128000,0.9722728081800945,10614565380909590264,10614565380909590264
right_arbitrary,32,3,0,1,1,259761900000,228467221000,1.1369766694015155,7884587721939948416,7884587721939948416
right_arbitrary,32,3,0,8,1,198575138000,209067507000,0.9498134877554167,4934924650199736551,4934924650199736551
right_arbitrary,32,3,0,13,1,522273932000,312136376000,1.6732235399567783,15487631992918338856,15487631992918338856
right_arbitrary,32,3,0,24,1,205712505000,211492845000,0.9726688626274804,14569067856350858083,14569067856350858083
